Source,Target
12809,12000
12809,60949
12809,27533
12809,59415
12809,61678
74253,78814
74253,29932
74253,14093
74253,5658
74253,8950
6667,170
6667,14715
6667,5648
6667,190
6667,73662
12816,170
12816,16555
12816,16559
12816,7540
12816,6359
12816,16579
12816,16614
12816,16633
12816,10453
12816,11053
12816,11412
12816,13001
12816,16738
12816,10489
12816,16746
12816,9536
12816,16774
12816,8950
23060,16774
23060,10987
23060,84305
23060,8668
23060,14093
6679,7540
6679,7568
6679,7729
6679,7730
6679,7735
6679,7744
6679,7753
6679,7758
6679,7780
6679,7786
6679,7791
6679,7803
6679,7805
6679,7839
6679,7858
6679,7861
6679,7867
6679,5648
6679,7876
6679,7898
6679,7940
6679,7980
6679,8007
61977,14715
61977,73662
61977,7786
61977,10987
61977,69236
61977,12135
61977,1434
6684,261955
6684,23440
6684,34546
6684,44268
6684,15717
6684,52164
6684,124675
6684,237590
6684,36931
6684,389880
6684,71052
6684,39785
6684,35711
207412,34597
82489,84678
82489,12706
82489,33965
82489,5762
82489,12792
82489,17303
145992,12639
145992,12000
145992,58003
145992,12670
145992,83300
145992,12628
145992,11606
145992,11412
145992,56491
47697,31346
47697,27708
102995,12706
102995,10453
102995,103109
102995,35168
102995,35170
102995,12349
102995,7568
102995,9300
102995,31784
102995,13417
102995,15329
102995,289077
102995,12792
102995,55192
8794,10987
8794,11005
8794,11026
8794,11053
8794,6684
8794,11128
8794,11193
250468,5222
250468,83746
8808,34463
8808,34466
8808,34546
8808,14378
8808,19425
8808,5762
8808,34569
8808,34597
8808,34610
8808,34618
8808,30715
8808,34726
8808,34752
8808,29708
8808,21033
33381,122228
33381,12628
33381,170
33381,12670
33381,14602
33381,47898
33381,56491
33381,47453
33381,12639
33381,8808
33381,7540
33381,8950
33381,77453
33381,14378
33381,30483
217708,5222
217708,329335
135794,14715
135794,73724
135794,27222
135794,14017
135794,30430
135794,21424
135794,387806
135794,7876
135794,20844
135794,7217
135794,84305
25209,23949
25209,10518
25209,24800
25209,47453
25209,34015
25209,18873
25209,9472
25209,103109
25209,7786
25209,29279
23162,30294
23162,13463
23162,11412
23162,23879
23162,12349
23162,14715
256632,8889
256632,15717
256632,12792
256632,51383
256632,42559
256632,28964
256632,6389
256632,299580
256632,55202
117375,9610
117375,27222
117375,13463
117375,14715
21120,16555
21120,13001
21120,15717
21120,49123
21120,25416
21120,12642
21120,33522
21120,14715
21120,7867
21120,25335
21120,190
21120,14763
21120,49223
21120,15344
129667,11412
21126,65527
21126,8588
21126,16132
21126,10987
96899,61207
96899,34015
96899,25416
96899,26781
96899,36844
96899,6389
96899,14715
96899,69236
8848,8668
8848,7867
8848,10408
8848,12580
8848,9644
8848,12349
8848,12628
8848,10518
8848,12639
8848,12642
8848,12655
8848,12670
8848,12688
8848,12706
8848,12792
8848,12809
8848,12816
8848,12896
8848,7568
8848,8593
58003,31924
58003,83746
58003,8668
31384,24286
31384,30483
31384,118755
31384,9963
31384,5648
31384,9244
31384,50732
31384,10987
31384,7758
31384,10427
31384,7729
31384,7753
31384,7735
31384,7805
31384,7791
31384,7730
31384,126657
31384,7803
31384,7744
31384,12670
31384,21033
33433,35953
33433,7839
33433,17314
33433,12792
33433,58003
33433,70010
12965,8889
12965,21424
12965,35711
12965,17420
12965,24800
12965,35741
2739,5636
2739,5648
2739,5654
2739,5658
2739,5762
2739,379
2739,5891
2739,5964
84660,151806
84660,151830
84660,11620
84660,14094
84660,14746
84660,128506
84660,25416
84660,6551
84660,6684
84660,151908
123573,54830
123573,30404
123573,14715
117431,6363
117431,24052
117431,15717
117431,7898
117431,19425
117431,24286
117431,34752
117431,85610
25273,8668
25273,24286
25273,30483
25273,23226
25273,17522
25273,170
25273,49392
8889,84381
8889,25713
8889,84411
8889,24012
8889,69573
8889,28219
8889,12965
8889,31346
8889,41548
8889,84660
27324,34597
27324,47453
27324,32241
27324,14764
27324,13463
27324,14715
84671,10015
84671,78814
84671,14763
84671,17303
84671,8668
103109,395816
103109,15447
103109,20843
103109,69573
103109,36931
103109,29732
103109,446657
103109,118755
103109,61096
103109,395878
103109,29279
103109,6359
39625,35979
76507,6389
76507,15344
76507,14715
76507,102995
76507,14763
64224,25603
64224,6363
64224,5658
64224,379
64224,5762
64224,21364
64224,8668
64224,12896
64224,12986
64224,14094
17121,64702
17121,14715
82662,118755
82662,83746
82662,25335
82662,15346
82662,12670
82662,31867
82662,52086
82662,52164
82662,10427
82662,25603
82662,82356
82662,24215
82662,19314
33523,12792
33523,21033
33523,25355
33523,14746
33523,7858
33523,14602
33523,55202
8951,27960
8951,17537
8951,27976
8951,10182
8951,22475
8951,28219
8951,28234
8951,28316
8951,28328
8951,28343
11005,8794
11005,82509
11005,12896
11005,52853
11005,12642
11005,30483
11005,73217
11005,12688
11005,82662
115454,9788
115454,12349
115454,33522
115454,36924
115454,11412
115454,16579
115454,170
115454,156890
115454,21133
115454,14774
4862,1434
4862,14715
4862,167
4862,62732
6916,55210
6916,23949
6916,12792
6916,30483
6916,170
6916,8668
6916,5658
6916,367019
6916,31380
